"Horodateur","Quel est votre sexe ou genre actuel ? ( cochez toutes les réponses applicables)","Quel est votre âge ? ","Quel est votre niveau de diplôme ?","Avez-vous été directement confronté à l'épidémie de Covid (vous ou bien une personne de votre foyer infectée, précisez) ?","Si oui, à quel degré de gravité ? (Symptômes graves, hospitalisation...)","Est-ce qu’il a été difficile pour vous de vous adapter aux conditions imposées par le gouvernement (confinement, couvre-feu, télétravail, etc) ?","Vous sentez-vous différent depuis les mesures imposées par le gouvernement en rapport à l'épidémie (confinement, couvre feu) ?","Si oui, quels sont les symptômes que vous observez ?","Dans quelle mesure votre vie a-t-elle été affectée par les contraintes engendrées par l'épidémie ?","Comment évaluez-vous la gestion de cette épidémie par le gouvernement ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Avez vous le sentiment d’avoir bien été informé par les médias ?","Quel degré de gravité donneriez-vous à l'épidémie de Covid en France ? ","Dans combien de temps pensez-vous que l'épidémie sera derrière nous ? ","Porter le masque en présence d'autres personnes même à l'intérieur ","Porter le masque dans la rue et les lieux publics","Se laver les mains en rentrant chez soi","Se tenir au moins à 1 mètre des autres personnes","Se faire tester au moindre symptôme","Eviter les foules et autres rassemblements","Rester chez soi le plus souvent possible","Utiliser toutes les ressources du télétravail","Utiliser une solution hydroalcoolique en allant au supermarché","Saluer sans serrer la main et arrêter les embrassades","Allez-vous vous faire vacciner dès que ce sera possible ?  ","Conseillez-vous à vos proches, surtout les plus âgés, de se faire vacciner ? ","Est-ce qu'il vous semble important que les célébrités et/ou les personnalités politiques puissent se faire vacciner publiquement?","Est-ce que le fait que vos proches soient vaccinés vous inciterait à vous faire vacciner vous aussi ?","Pensez-vous être correctement informé.e des vaccins et des qualités/défauts des vaccins qui vous sont proposés ?","Comment évaluez-vous les risques d'effets secondaires graves des vaccins ?","Êtes-vous favorable à ce que les personnes qui se font vacciner puissent choisir le type de vaccin (Pfizer, Astra Zeneca, Sputnik V,...) ?","Comprenez-vous le caractère facultatif du vaccin en France ?","Êtes-vous favorable à un ""Passeport Santé"", qui permet aux personnes vaccinées d'accéder aux salles de sports, cinémas et autres salles de spectacle ?"," [Hommes politiques]"," [ Grands Laboratoires Pharmaceutiques]"," [La famille]"," [Les amis]"," [Le voisinage ]"," [Médecine généraliste]"," [La justice]"," [L'administration]"," [L'hôpital public]"," [La police]"," [L'enseignement]"," [Pharmacies]"," [Les grands médias]"," [Les réseaux sociaux]"," [Les distributeurs]"," [La science]"," [Les commerçants]"
"2021/03/15 3:24:15 PM UTC+2","Femme","40-55 ans","DEUG, BTS, DUT, DEUST","Non","","0","Oui","Déprime/baisse de morale","9","0","8","0","8","5","10","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Jamais","Souvent","Systématiquement","Jamais","Systématiquement","Systématiquement","0","0","Non","Non","Non","10","Oui","Oui","0","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance"
"2021/03/15 3:26:23 PM UTC+2","Homme","56- 65 ans","DEUG, BTS, DUT, DEUST","non","","1","Oui","Manque de lien social","9","7","7","6","8","9","8","2 ans (Pas avant 2023)","Souvent","Systématiquement","Systématiquement","Systématiquement","Rarement","Systématiquement","Souvent","Jamais","Systématiquement","Systématiquement","10","10","Non","Oui","","2","Non","Non","10","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/15 3:29:08 PM UTC+2","Homme","20-29 ans","Baccalauréat","Personne du foyer","1","8","Oui","Stress;Déprime/baisse de morale;Baisse de productivité","7","2","5","2","10","10","7","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Jamais","Souvent","Souvent","Souvent","Souvent","Systématiquement","10","10","Oui","Non","Non","2","Oui","Non","0","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée","Aucune confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance absolue","Aucune confiance","Faible confiance","Confiance modérée","Aucune confiance","Faible confiance","Aucune confiance","Confiance absolue","Aucune confiance"
"2021/03/15 3:29:40 PM UTC+2","Femme","40-55 ans","CAP, BEP","Non","","10","Oui","Stress;Déprime/baisse de morale;Baisse de productivité","10","0","0","0","0","0","10","3 mois (Juin 2021)","Systématiquement","Systématiquement","Souvent","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Souvent","Jamais","10","10","Oui","Oui","Oui","4","Oui","Non","10","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée"
"2021/03/15 3:33:57 PM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Non","2","4","Oui","Stress","3","6","3","5","5","6","5","3 mois (Juin 2021)","Jamais","Rarement","Souvent","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Souvent","7","6","Non","Oui","Oui","9","Oui","Oui","8","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance"
"2021/03/15 3:34:05 PM UTC+2","Femme","56- 65 ans","CAP, BEP","Non","","1","Oui","Stress;Déprime/baisse de morale;Baisse de productivité","10","8","10","5","10","9","10","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Jamais","Souvent","Souvent","Ça dépend des situations","Systématiquement","Systématiquement","10","10","Non","Oui","Non","4","Non","Non","10","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/15 3:37:25 PM UTC+2","Femme","40-55 ans","Master 2","Oui, membre de la famille très proche","5","9","Oui","Anxiété;Baisse de productivité","10","8","6","9","8","10","8","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Rarement","Systématiquement","Systématiquement","Ça dépend des situations","Rarement","Systématiquement","2","5","Non","Non","Non","10","Oui","Oui","10","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/15 3:37:35 PM UTC+2","Femme","15-19 ans","Baccalauréat","Oui ","1","6","Oui","Anxiété;Déprime/baisse de morale;Baisse de productivité","6","1","2","0","5","2","3","6 mois (Septembre 2021)","Rarement","Systématiquement","Jamais","Rarement","Jamais","Jamais","Jamais","Souvent","Jamais","Jamais","0","2","Non","Non","Non","7","Oui","Oui","0","Aucune confiance","Confiance modérée","Confiance absolue","Confiance absolue","Aucune confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Aucune confiance"
"2021/03/15 3:39:58 PM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Oui","1","7","Oui","Décrochage scolaire;Déprime/baisse de morale","8","3","5","6","5","3","8","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Rarement","Jamais","Souvent","Rarement","Rarement","Rarement","Souvent","1","3","Oui","Oui","Non","6","Non","Oui","5","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Aucune confiance","Confiance modérée","Confiance absolue","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée"
"2021/03/15 3:40:20 PM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Oui, ma famille et moi même ","4","5","Oui","Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","7","3","5","4","7","6","7","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Rarement","Rarement","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","7","9","Oui","Oui","Non","6","Oui","Oui","5","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée"
"2021/03/15 3:40:55 PM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Oui","1","0","Non","","0","0","1","0","0","0","10","1 an (Pas avant 2022)","Systématiquement","Souvent","Systématiquement","Souvent","Jamais","Souvent","Systématiquement","Systématiquement","Systématiquement","Systématiquement","0","0","Non","Non","Non","0","Non","Non","8","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance"
"2021/03/15 3:41:57 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","non ","","6","Oui","Stress;Baisse de productivité","6","3","3","2","6","4","8","2 ans (Pas avant 2023)","Souvent","Systématiquement","Systématiquement","Rarement","Rarement","Souvent","Souvent","Rarement","Systématiquement","Souvent","1","3","Non","Non","Non","8","Oui","Oui","0","Aucune confiance","Confiance modérée","Confiance absolue","Confiance modérée","Aucune confiance","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance"
"2021/03/15 3:42:29 PM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Mon frère et des amis","1","8","Oui","Baisse de productivité","6","4","8","4","8","0","7","Elle va menacer pendant longtemps","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Jamais","Ça dépend des situations","Souvent","Souvent","Rarement","Systématiquement","0","2","Non","Non","Non","10","Oui","Oui","0","Faible confiance","Aucune confiance","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Confiance absolue","Confiance modérée"
"2021/03/15 3:45:47 PM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Non","","8","Oui","Anxiété;Déprime/baisse de morale;Baisse de productivité","9","7","5","3","8","8","4","6 mois (Septembre 2021)","Souvent","Systématiquement","Systématiquement","Souvent","Rarement","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","10","10","Oui","Oui","Non","3","Oui","Oui","10","Faible confiance","Confiance absolue","Confiance modérée","Confiance modérée","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance absolue","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée","Aucune confiance"
"2021/03/15 3:49:03 PM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Oui, mon frère ","2","6","Oui","Baisse de productivité","4","3","3","3","4","3","6","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Souvent","Systématiquement","Ça dépend des situations","Ça dépend des situations","Souvent","Systématiquement","5","7","Oui","Oui","Non","5","Oui","Oui","2","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance"
"2021/03/15 3:52:12 PM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Oui ","1","0","Non","","3","1","7","5","6","5","9","Elle va menacer pendant longtemps","Rarement","Souvent","Systématiquement","Souvent","Rarement","Souvent","Souvent","Souvent","Systématiquement","Souvent","0","0","Non","Non","Non","9","Oui","Oui","0","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Aucune confiance"
"2021/03/15 3:57:56 PM UTC+2","Femme","40-55 ans","Baccalauréat","Non","","1","Non","","7","5","4","4","3","5","9","2 ans (Pas avant 2023)","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Souvent","Souvent","Jamais","Rarement","Systématiquement","5","5","Oui","Oui","Non","8","Oui","Oui","1","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée"
"2021/03/15 3:59:36 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","6","Oui","Anxiété;Stress;Déprime/baisse de morale","2","1","6","2","5","2","3","Elle va menacer pendant longtemps","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Souvent","Rarement","Souvent","Systématiquement","Systématiquement","Systématiquement","1","3","Oui","Non","Non","7","Oui","Oui","7","Aucune confiance","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Confiance absolue","Confiance modérée"
"2021/03/15 4:08:12 PM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Oui je suis positif au covid ","3","6","Oui","Déprime/baisse de morale;Baisse de productivité","8","0","5","3","3","2","7","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Systématiquement","Ça dépend des situations","Souvent","Systématiquement","Souvent","Ça dépend des situations","0","5","Non","Oui","Non","10","Oui","Oui","1","Aucune confiance","Aucune confiance","Confiance absolue","Confiance absolue","Aucune confiance","Confiance modérée","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance"
"2021/03/15 4:12:42 PM UTC+2","Homme","30-39 ans","Baccalauréat","Moi","3","8","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","7","5","5","6","7","8","10","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Jamais","Systématiquement","Systématiquement","10","10","Non","Oui","Non","2","Non","Non","10","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/15 4:23:51 PM UTC+2","Femme","56- 65 ans","Baccalauréat","Non","","3","Oui","Déprime/baisse de morale","2","5","7","7","7","7","9","9 mois (Décembre 2021)","Rarement","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Jamais","Systématiquement","Systématiquement","9","9","Non","Non","Oui","2","Oui","Oui","5","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée"
"2021/03/15 4:34:29 PM UTC+2","Femme","30-39 ans","DEUG, BTS, DUT, DEUST","Non","","2","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","5","5","7","3","6","6","10","2 ans (Pas avant 2023)","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Systématiquement","Systématiquement","10","10","Non","Non","Non","1","Oui","Oui","0","Faible confiance","Confiance modérée","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Faible confiance","Aucune confiance","Faible confiance","Confiance absolue","Confiance absolue"
"2021/03/15 4:49:59 PM UTC+2","Femme","20-29 ans","Master 2","Non","","7","Non","","7","5","5","5","5","4","7","Elle va menacer pendant longtemps","Ça dépend des situations","Systématiquement","Systématiquement","Rarement","Jamais","Jamais","Jamais","Rarement","Rarement","Souvent","1","6","Oui","Oui","Non","6","Oui","Oui","8","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée"
